,AE,BR,CL,CN,ID,IN,MX,MY,PH,PL,RU,SA,TH,TR,TW,ZA,KR
05/01/2020,9.330044234,16.91189802,22,33.79861441,22,40.51905327,21,20,0,21.60163123,24.00820979,15.60647338,19,34.49333811,23.26019003,19.02748799,
12/01/2020,17.32757741,29.98015258,35,39.29269684,46,47.88521997,37,33,0,32.44890611,22.23115236,13.3611597,51,42.22426796,24.14261775,24.23009091,
19/01/2020,15.99506635,31.50521564,33,34.14695602,43,46.20249872,48,37,0,33.38057625,40.91892206,12,47,38.10805316,27.07786084,30.48287036,
26/01/2020,14.66255529,33.21932666,30,13.84346059,48,46.47748855,47,26,47,32.83736743,47.34306193,13.6388403,45,37.10483883,24.25266981,33.34512783,
02/02/2020,15.32881082,37.17271854,31,3.929748517,44,47.16482293,46,16,46,34.974132,46.77603173,20.24531368,47,36.9936123,20.93271098,34.9039563,
09/02/2020,13.99629976,40.93696624,23,5.278228719,46,43.64983224,41,29,43,33.33931326,45.66171737,17.03236691,44,36.02570136,21.57533684,35.88145194,
16/02/2020,13.32881082,41.73402683,21,6.554974239,42,44.86939468,48,33,45,32.80367477,45.99188736,14.03236691,42,37.30764404,23.79490525,32.58475032,
23/02/2020,12.33004423,42.2146164,22,6.747336842,47,39.77026629,46,30,40,31.41852826,45.16771381,12.6388403,41,37.68982669,23.59242254,31.77374871,
01/03/2020,12.99629976,22.95321201,28,9.647720753,50,42.34387972,45,30,38,35.62475008,43.47368244,15.03236691,40,36.10720852,24.41246942,33.33931664,
08/03/2020,11.33004423,40.80700963,38,13.48426875,45,42.90732758,44,31,40,34.59845962,48.69008361,14.24531368,38,38.05910963,24.72162045,32.27554876,
15/03/2020,6.997533175,37.95111425,40,16.65396568,37,30.10079758,40,24,30,29.50867859,42.5234341,5.819420149,33,34.71944455,24.93524308,30.58697347,
22/03/2020,4.665022117,19.00333847,18,19.61617135,21,23.1703033,22,6,5,15.6743369,42.46013187,0.606473383,25,18.48787416,22.20193079,21.59450842,
29/03/2020,1.666255529,10.99550292,13,19.98578183,8,4.029000069,15,1,2,15.2463033,34.47449651,1,14,10.91938484,21.37903589,17.92677055,
